key,name_en,name_cn,name_hk,url
1021,Afghan Post,Afghan Post,Afghan Post,http://afghanpost.gov.af/
1031,Albanian Post,Albanian Post,Albanian Post,http://www.postashqiptare.al/
1041,Algeria Post,Algeria Post,Algeria Post,https://www.poste.dz/
1043,Algeria EMS,Algeria EMS,Algeria EMS,http://www.ems.dz/
1121,Correo Argentino,Correo Argentino,Correo Argentino,https://www.correoargentino.com.ar/
1131,Haypost,Haypost,Haypost,http://www.haypost.am/
1151,Australia Post,Australia Post,Australia Post,http://auspost.com.au/
1161,Austrian Post,Austrian Post,Austrian Post,http://www.post.at/
1171,Azer Express Post,Azer Express Post,Azer Express Post,http://www.azems.az/
2031,Bangladesh Post,Bangladesh Post,Bangladesh Post,https://bdpost.gov.bd/
2041,Barbados Post,Barbados Post,Barbados Post,http://www.bps.gov.bb/
2051,Belpost,Belpost,Belpost,http://belpost.by/
2061,Bpost,Bpost,Bpost,https://track.bpost.cloud/
2063,Bpost International,Bpost International,Bpost International,http://www.bpost2.be/bpostinternational/track_trace/find.php
2071,Belize Post,Belize Post,Belize Post,http://www.belizepostalservice.gov.bz/
2081,La Poste De Benin,La Poste De Benin,La Poste De Benin,http://www.laposte.bj/
2101,Bhutan Post,Bhutan Post,Bhutan Post,http://www.bhutanpost.bt/
2121,JP BH Post,JP BH Post,JP BH Post,http://www.posta.ba/
2122,Pošta Srpske,Pošta Srpske,Pošta Srpske,https://www.postesrpske.com/
2123,Hrvatska pošta Mostar,Hrvatska pošta Mostar,Hrvatska pošta Mostar,https://www.post.ba/
2131,Botswana Post,Botswana Post,Botswana Post,http://www.botspost.co.bw/
2151,Correios Brazil,Correios Brazil,Correios Brazil,http://www.correios.com.br/
2161,Brunei Post,Brunei Post,Brunei Post,http://www.post.gov.bn/
2171,Bulgarian Post,Bulgarian Post,Bulgarian Post,http://www.bgpost.bg/
2181,Sonapost,Sonapost,Sonapost,https://laposte.bf/
2191,Burundi Post,Burundi Post,Burundi Post,http://www.poste.bi/
3011,China Post,中国邮政,中國郵政,https://yjcx.ems.com.cn/
3013,China EMS,China EMS,China EMS,https://www.11183.com.cn/
3021,Cambodia Post,Cambodia Post,Cambodia Post,http://cambodiapost.post/
3031,Campost,Campost,Campost,https://www.campost.cm/
3041,Canada Post,Canada Post,Canada Post,https://www.canadapost.ca/
3061,Correios Cabo Verde,Correios Cabo Verde,Correios Cabo Verde,http://www.correios.cv/
3101,Correos Chile,Correos Chile,Correos Chile,http://www.correos.cl/
3131,4-72,4-72,4-72,https://www.4-72.com.co/
3181,Correos Costa Rica,Correos Costa Rica,Correos Costa Rica,http://www.correos.go.cr/
3191,Croatian Post,Croatian Post,Croatian Post,http://www.posta.hr/
3201,Correos de Cuba,Correos de Cuba,Correos de Cuba,http://www.correos.cu/
3211,Cyprus Post,Cyprus Post,Cyprus Post,https://www.cypruspost.post/
3221,Czech Post,Czech Post,Czech Post,http://www.ceskaposta.cz/
4011,PostNord Danmark,PostNord Danmark,PostNord Danmark,https://www.postnord.dk/
4041,Inposdom,Inposdom,Inposdom,http://www.inposdom.gob.do/
5011,Correos Ecuador,Correos Ecuador,Correos Ecuador,http://www.correosdelecuador.gob.ec/
5021,Egypt Post,Egypt Post,Egypt Post,http://www.egyptpost.org/
5031,Emirates Post,Emirates Post,Emirates Post,https://emiratespost.ae/
5041,Omniva,Omniva,Omniva,https://www.omniva.ee/
5051,Ethiopian Post,Ethiopian Post,Ethiopian Post,http://www.ethiopostal.com/
6031,Fiji Post,Fiji Post,Fiji Post,http://www.postfiji.com.fj/
6041,Posti,Posti,Posti,http://www.posti.fi/
6051,La Poste (Colissimo),La Poste (Colissimo),La Poste (Colissimo),http://www.laposte.fr/
7031,Georgian Post,Georgian Post,Georgian Post,http://gpost.ge/
7041,DHL Paket,DHL Paket,DHL Paket,https://www.dhl.de/en/privatkunden/pakete-empfangen/verfolgen.html
7044,Deutsche Post Mail,Deutsche Post Mail,Deutsche Post Mail,http://www.deutschepost.de/
7047,DHL eCommerce US,DHL eCommerce US,DHL eCommerce US,https://www.dhl.com/us-en/home/tracking/tracking-ecommerce.html
7048,DHL eCommerce Asia,DHL eCommerce Asia,DHL eCommerce Asia,https://ecommerceportal.dhl.com/
7051,Ghana Post,Ghana Post,Ghana Post,http://www.ghanapost.com.gh/
7071,ELTA,ELTA,ELTA,http://www.elta.gr/
7121,Correo de Guatemala,Correo de Guatemala,Correo de Guatemala,https://correosytelegrafos.civ.gob.gt/
7141,Guyana Post,Guyana Post,Guyana Post,http://guypost.gy/
8011,HongKong Post,HongKong Post,HongKong Post,http://www.hongkongpost.hk/
8041,Correos de Honduras,Correos de Honduras,Correos de Honduras,http://www.honducor.gob.hn/
8051,Magyar Posta,Magyar Posta,Magyar Posta,http://posta.hu/
9011,Iceland Post,Iceland Post,Iceland Post,http://www.postur.is/
9021,India Post,India Post,India Post,https://app.indiapost.gov.in/
9031,Pos Indonesia,Pos Indonesia,Pos Indonesia,https://www.posindonesia.co.id/
9041,Iran Post,Iran Post,Iran Post,http://post.ir/
9051,An Post,An Post,An Post,https://www.anpost.com/
9061,Israel Post,Israel Post,Israel Post,http://www.israelpost.co.il/
9071,Poste Italiane,Poste Italiane,Poste Italiane,http://www.poste.it/
9081,Iraq Post (البريد العراقي),Iraq Post (البريد العراقي),Iraq Post (البريد العراقي),https://post.iq/en/
10011,Jamaica Post,Jamaica Post,Jamaica Post,http://www.jamaicapost.gov.jm/
10021,Japan Post,Japan Post,Japan Post,https://www.japanpost.jp/
10031,Jordan Post,Jordan Post,Jordan Post,http://www.jordanpost.com.jo/
11011,Kaz Post,Kaz Post,Kaz Post,https://post.kz/
11021,Kenya Post,Kenya Post,Kenya Post,http://www.posta.co.ke/
11031,Royal Mail,Royal Mail,Royal Mail,https://www.royalmail.com/
11033,Parcelforce,Parcelforce,Parcelforce,https://www.parcelforce.com/
11041,Kiribati Post,Kiribati Post,Kiribati Post,http://kiribatipost.net.ki/
11051,ePOST (인터넷우체국),ePOST (인터넷우체국),ePOST (인터넷우체국),http://www.epost.go.kr/
11054,ePOST (인터넷우체국)(Domestic),ePOST (인터넷우체국)(Domestic),ePOST (인터넷우체국)(Domestic),https://service.epost.go.kr/iservice/usr/trace/usrtrc001k01.jsp
11071,Posta e Kosovës,Posta e Kosovës,Posta e Kosovës,http://postakosoves.com/
11081,Kuwait Post,Kuwait Post,Kuwait Post,https://moc.gov.kw/
11091,Kyrgyz Post,Kyrgyz Post,Kyrgyz Post,http://kyrgyzpost.kg/
11094,Kyrgyz Express Post(KEP),Kyrgyz Express Post(KEP),Kyrgyz Express Post(KEP),https://www.kep.kg/
12011,Enterprise des Poste Lao,Enterprise des Poste Lao,Enterprise des Poste Lao,http://www.laopost.com.la/
12016,Enterprise des Poste Lao (APL),Enterprise des Poste Lao (APL),Enterprise des Poste Lao (APL),http://www.laopostapl.com/
12021,Latvia Post,Latvia Post,Latvia Post,http://www.pasts.lv/
12031,Liban Post,Liban Post,Liban Post,http://www.libanpost.com/
12041,Lesotho Post,Lesotho Post,Lesotho Post,http://lesothopost.org.ls/
12061,Libya Post,Libya Post,Libya Post,http://libyapost.ly/
12081,Lithuania Post,Lithuania Post,Lithuania Post,https://www.post.lt/
12084,PostPlus,PostPlus,PostPlus,http://www.post-plus.net/
12091,Saint Lucia Post,Saint Lucia Post,Saint Lucia Post,http://www.stluciapostal.com/
12101,Luxembourg Post,Luxembourg Post,Luxembourg Post,https://www.post.lu/
13011,Macau Post,Macau Post,Macau Post,http://www.macaupost.gov.mo/
13021,Macedonia Post,Macedonia Post,Macedonia Post,https://www.posta.com.mk/
13031,Paositra Malagasy,Paositra Malagasy,Paositra Malagasy,https://paositramalagasy.mg/
13051,Pos Malaysia,Pos Malaysia,Pos Malaysia,http://www.pos.com.my/
13061,Maldives Post,Maldives Post,Maldives Post,https://www.maldivespost.com/
13071,La poste du Mali,La poste du Mali,La poste du Mali,http://www.laposte.ml/
13081,Malta Post,Malta Post,Malta Post,http://www.maltapost.com/
13131,Mauritius Post,Mauritius Post,Mauritius Post,http://www.mauritiuspost.mu/
13134,MailAmericas,MailAmericas,MailAmericas,http://mailamericas.com/
13141,Mexico Post,Mexico Post,Mexico Post,https://www.correosdemexico.gob.mx/
13161,Moldova Post,Moldova Post,Moldova Post,http://www.posta.md/
13181,Mongol Post,Mongol Post,Mongol Post,http://www.mongolpost.mn/
13191,Montenegro Post,Montenegro Post,Montenegro Post,http://www.postacg.me/
13211,Morocco Post,Morocco Post,Morocco Post,http://www.poste.ma/
13221,Correios de Moçambique,Correios de Moçambique,Correios de Moçambique,http://www.correios.co.mz/
13231,Myanmar Post,Myanmar Post,Myanmar Post,https://www.myanmarpost.com.mm/
14011,Namibia Post,Namibia Post,Namibia Post,http://www.nampost.com.na/
14031,Nepal Post,Nepal Post,Nepal Post,http://www.gpo.gov.np/
14041,PostNL,PostNL,PostNL,https://www.postnl.nl/
14044,PostNL International Mail,PostNL International Mail,PostNL International Mail,http://www.postnl.post/
14061,NZ Post (New Zealand Post),NZ Post (New Zealand Post),NZ Post (New Zealand Post),http://www.nzpost.co.nz/
14071,Nicaragua Post,Nicaragua Post,Nicaragua Post,https://www.correos.gob.ni/
14081,Norway Post,Norway Post,Norway Post,http://www.posten.no/
14101,Nigerian Post,Nigerian Post,Nigerian Post,https://www.nipost.gov.ng/
15011,Oman Post,Oman Post,Oman Post,https://omanpost.om/
16011,Pakistan Post,Pakistan Post,Pakistan Post,http://www.pakpost.gov.pk/
16021,Palestine Post,Palestine Post,Palestine Post,http://www.palpost.ps/
16031,Correos Panama,Correos Panama,Correos Panama,https://www.correospanama.gob.pa/
16041,PNG Post,PNG Post,PNG Post,http://www.postpng.com.pg/
16051,Correo Paraguayo,Correo Paraguayo,Correo Paraguayo,http://www.correoparaguayo.gov.py/
16061,Serpost,Serpost,Serpost,https://www.serpost.com.pe/Cliente/Home/Paginacomercial
16071,Philippine Post,Philippine Post,Philippine Post,https://www.phlpost.gov.ph/
16081,Poland Post,Poland Post,Poland Post,http://www.poczta-polska.pl/
16101,CTT,CTT,CTT,http://www.ctt.pt/
17011,Q-Post,Q-Post,Q-Post,https://qatarpost.qa/
18021,Romania Post,Romania Post,Romania Post,http://www.posta-romana.ro/
18031,Russian Post,Russian Post,Russian Post,https://pochta.ru/
18041,Rwanda Post,Rwanda Post,Rwanda Post,http://www.i-posita.rw/
19021,SVG Post,SVG Post,SVG Post,http://www.svgpost.gov.vc/
19031,Correo El Salvador,Correo El Salvador,Correo El Salvador,http://www.correos.gob.sv/
19051,San Marino Post,San Marino Post,San Marino Post,http://www.poste.sm/
19071,Saudi Post,Saudi Post,Saudi Post,https://splonline.com.sa/ar/
19081,La Poste De Senegal,La Poste De Senegal,La Poste De Senegal,http://www.laposte.sn/
19091,Serbia Post,Serbia Post,Serbia Post,http://www.posta.rs/
19111,Seychelles Post,Seychelles Post,Seychelles Post,http://www.seychelles-post.com/
19131,Singapore Post,Singapore Post,Singapore Post,http://www.singpost.com/
19141,Slovakia Post,Slovakia Post,Slovakia Post,http://www.posta.sk/
19151,Slovenia Post,Slovenia Post,Slovenia Post,http://www.posta.si/
19161,Solomon Post,Solomon Post,Solomon Post,http://www.solomonpost.com.sb/
19171,South Africa Post,South Africa Post,South Africa Post,https://www.postoffice.co.za/
19181,Correos Spain,Correos Spain,Correos Spain,https://www.correos.es/
19191,Sri Lanka Post,Sri Lanka Post,Sri Lanka Post,http://www.slpost.gov.lk/
19201,Sudan Post,Sudan Post,Sudan Post,http://sudapost.sd/
19241,PostNord Sweden,PostNord Sweden,PostNord Sweden,http://www.postnord.se/
19244,Direct Link,Direct Link,Direct Link,http://www.directlink.com/
19251,Swiss Post,Swiss Post,Swiss Post,https://www.post.ch/
19281,Samoa Post,Samoa Post,Samoa Post,https://www.samoapost.ws/
20011,Chunghwa Post,Chunghwa Post,Chunghwa Post,https://ipost.post.gov.tw/
20012,Chunghwa Post (Demestic),Chunghwa Post (Demestic),Chunghwa Post (Demestic),https://ipost.post.gov.tw/
20031,Tanzania Post,Tanzania Post,Tanzania Post,http://www.posta.co.tz/
20041,Thailand Post,Thailand Post,Thailand Post,https://www.thailandpost.co.th/
20051,La Poste De Togo,La Poste De Togo,La Poste De Togo,http://www.laposte.tg/
20061,Tonga Post,Tonga Post,Tonga Post,http://www.tongapost.to/
20071,Trinidad and Tobago Postal Corporation,Trinidad and Tobago Postal Corporation,Trinidad and Tobago Postal Corporation,http://www.ttpost.net/
20091,Tuvalu Post,Tuvalu Post,Tuvalu Post,http://www.tuvalupost.tv/
